topic,action,path,reason
2010s,exists,/home/dan/wealtheow/Topic Notes/2010s.md,topic note already exists
2011 (year),create_planned,/home/dan/wealtheow/Topic Notes/2011 (year).md,missing topic note
2012 (Year),exists,/home/dan/wealtheow/Topic Notes/2012 (Year).md,topic note already exists
2013-2020,exists,/home/dan/wealtheow/Topic Notes/2013-2020.md,topic note already exists
2014 (Year),exists,/home/dan/wealtheow/Topic Notes/2014 (Year).md,topic note already exists
2016,exists,/home/dan/wealtheow/Topic Notes/2016.md,topic note already exists
2017 mortality,create_planned,/home/dan/wealtheow/Topic Notes/2017 mortality.md,missing topic note
2019,exists,/home/dan/wealtheow/Topic Notes/2019.md,topic note already exists
2020,exists,/home/dan/wealtheow/Topic Notes/2020.md,topic note already exists
2020s,exists,/home/dan/wealtheow/Topic Notes/2020s.md,topic note already exists
2023–2025 Gaza War,create_planned,/home/dan/wealtheow/Topic Notes/2023–2025 Gaza War.md,missing topic note
2024 SSHRC Post Doctoral Fellowship Competition,exists,/home/dan/wealtheow/Topic Notes/2024 SSHRC Post Doctoral Fellowship Competition.md,topic note already exists
2025 Films,create_planned,/home/dan/wealtheow/Topic Notes/2025 Films.md,missing topic note
"2025, 11, 12",create_planned,"/home/dan/wealtheow/Topic Notes/2025, 11, 12.md",missing topic note
"2025, 11, 14",create_planned,"/home/dan/wealtheow/Topic Notes/2025, 11, 14.md",missing topic note
20250824_205839.jpg,create_planned,/home/dan/wealtheow/Topic Notes/20250824_205839.jpg.md,missing topic note
20251101_174800.jpg,create_planned,/home/dan/wealtheow/Topic Notes/20251101_174800.jpg.md,missing topic note
2025–2030,create_planned,/home/dan/wealtheow/Topic Notes/2025–2030.md,missing topic note
20th Century,create_planned,/home/dan/wealtheow/Topic Notes/20th Century.md,missing topic note
20th Century (s. xx),exists,/home/dan/wealtheow/Topic Notes/20th Century (s. xx).md,topic note already exists
20th Century Terrors,create_planned,/home/dan/wealtheow/Topic Notes/20th Century Terrors.md,missing topic note
20th-century Britain,create_planned,/home/dan/wealtheow/Topic Notes/20th-century Britain.md,missing topic note
20th-century France,create_planned,/home/dan/wealtheow/Topic Notes/20th-century France.md,missing topic note
21st Century,create_planned,/home/dan/wealtheow/Topic Notes/21st Century.md,missing topic note
21st Century (s.xxi),exists,/home/dan/wealtheow/Topic Notes/21st Century (s.xxi).md,topic note already exists
24,create_planned,/home/dan/wealtheow/Topic Notes/24.md,missing topic note
3-D Modelling in Archaeology,create_planned,/home/dan/wealtheow/Topic Notes/3-D Modelling in Archaeology.md,missing topic note
3.5% rule,create_planned,/home/dan/wealtheow/Topic Notes/3.5% rule.md,missing topic note
3D Models,create_planned,/home/dan/wealtheow/Topic Notes/3D Models.md,missing topic note
[[Assignment Design,create_planned,/home/dan/wealtheow/Topic Notes/[[Assignment Design.md,missing topic note
[[Contemporary Feminism,create_planned,/home/dan/wealtheow/Topic Notes/[[Contemporary Feminism.md,missing topic note
[[Creative Assessment,create_planned,/home/dan/wealtheow/Topic Notes/[[Creative Assessment.md,missing topic note
[[Creative Assignments,create_planned,/home/dan/wealtheow/Topic Notes/[[Creative Assignments.md,missing topic note
[[Criticism,create_planned,/home/dan/wealtheow/Topic Notes/[[Criticism.md,missing topic note
[[Cultural Criticism,create_planned,/home/dan/wealtheow/Topic Notes/[[Cultural Criticism.md,missing topic note
[[Dating,create_planned,/home/dan/wealtheow/Topic Notes/[[Dating.md,missing topic note
[[dictionary-making,create_planned,/home/dan/wealtheow/Topic Notes/[[dictionary-making.md,missing topic note
[[Digital Humanities,create_planned,/home/dan/wealtheow/Topic Notes/[[Digital Humanities.md,missing topic note
[[Early English Text Society,create_planned,/home/dan/wealtheow/Topic Notes/[[Early English Text Society.md,missing topic note
[[editorial practice,create_planned,/home/dan/wealtheow/Topic Notes/[[editorial practice.md,missing topic note
[[Ellie Anderson,create_planned,/home/dan/wealtheow/Topic Notes/[[Ellie Anderson.md,missing topic note
[[Emotional Labour,create_planned,/home/dan/wealtheow/Topic Notes/[[Emotional Labour.md,missing topic note
[[Femininity,create_planned,/home/dan/wealtheow/Topic Notes/[[Femininity.md,missing topic note
[[Gender Relations,create_planned,/home/dan/wealtheow/Topic Notes/[[Gender Relations.md,missing topic note
[[Hermeneutic Labour,create_planned,/home/dan/wealtheow/Topic Notes/[[Hermeneutic Labour.md,missing topic note
[[Heterofatalism,create_planned,/home/dan/wealtheow/Topic Notes/[[Heterofatalism.md,missing topic note
[[Heterosexuality,create_planned,/home/dan/wealtheow/Topic Notes/[[Heterosexuality.md,missing topic note
[[Historiography,create_planned,/home/dan/wealtheow/Topic Notes/[[Historiography.md,missing topic note
[[History Instruction,create_planned,/home/dan/wealtheow/Topic Notes/[[History Instruction.md,missing topic note
[[history of English,create_planned,/home/dan/wealtheow/Topic Notes/[[history of English.md,missing topic note
[[Humanities data project,create_planned,/home/dan/wealtheow/Topic Notes/[[Humanities data project.md,missing topic note
[[Jean Garnett,create_planned,/home/dan/wealtheow/Topic Notes/[[Jean Garnett.md,missing topic note
[[Jessica Benjamin,create_planned,/home/dan/wealtheow/Topic Notes/[[Jessica Benjamin.md,missing topic note
[[lexicography,create_planned,/home/dan/wealtheow/Topic Notes/[[lexicography.md,missing topic note
[[linguistic documentation,create_planned,/home/dan/wealtheow/Topic Notes/[[linguistic documentation.md,missing topic note
[[Masculinity,create_planned,/home/dan/wealtheow/Topic Notes/[[Masculinity.md,missing topic note
[[Oxford English Dictionary,create_planned,/home/dan/wealtheow/Topic Notes/[[Oxford English Dictionary.md,missing topic note
[[Pedagogy,create_planned,/home/dan/wealtheow/Topic Notes/[[Pedagogy.md,missing topic note
[[Peter Gilliver,create_planned,/home/dan/wealtheow/Topic Notes/[[Peter Gilliver.md,missing topic note
[[Philology,create_planned,/home/dan/wealtheow/Topic Notes/[[Philology.md,missing topic note
[[Public History,create_planned,/home/dan/wealtheow/Topic Notes/[[Public History.md,missing topic note
[[Quilt Code,create_planned,/home/dan/wealtheow/Topic Notes/[[Quilt Code.md,missing topic note
[[Relationship Psychology,create_planned,/home/dan/wealtheow/Topic Notes/[[Relationship Psychology.md,missing topic note
[[Romantic Love,create_planned,/home/dan/wealtheow/Topic Notes/[[Romantic Love.md,missing topic note
[[Sara Ahmed,create_planned,/home/dan/wealtheow/Topic Notes/[[Sara Ahmed.md,missing topic note
[[Sexuality Studies,create_planned,/home/dan/wealtheow/Topic Notes/[[Sexuality Studies.md,missing topic note
[[Student Work,create_planned,/home/dan/wealtheow/Topic Notes/[[Student Work.md,missing topic note
[[The New York Times Magazine,create_planned,/home/dan/wealtheow/Topic Notes/[[The New York Times Magazine.md,missing topic note
[[Unessay,create_planned,/home/dan/wealtheow/Topic Notes/[[Unessay.md,missing topic note
[[Was will das Weib,create_planned,/home/dan/wealtheow/Topic Notes/[[Was will das Weib.md,missing topic note
[object Object,create_planned,/home/dan/wealtheow/Topic Notes/[object Object.md,missing topic note
A Good Man is Hard to Find (Short Story),exists,/home/dan/wealtheow/Topic Notes/A Good Man is Hard to Find (Short Story).md,topic note already exists
A History of the OED,create_planned,/home/dan/wealtheow/Topic Notes/A History of the OED.md,missing topic note
A. D. Wanamaker,exists,/home/dan/wealtheow/Topic Notes/A. D. Wanamaker.md,topic note already exists
A. J. Nederbragt,exists,/home/dan/wealtheow/Topic Notes/A. J. Nederbragt.md,topic note already exists
A.I. marketing and branding strategies,create_planned,/home/dan/wealtheow/Topic Notes/A.I. marketing and branding strategies.md,missing topic note
a: A Novel,create_planned,/home/dan/wealtheow/Topic Notes/a: A Novel.md,missing topic note
AAAI,create_planned,/home/dan/wealtheow/Topic Notes/AAAI.md,missing topic note
Aaron Sousa,exists,/home/dan/wealtheow/Topic Notes/Aaron Sousa.md,topic note already exists
AAUP,create_planned,/home/dan/wealtheow/Topic Notes/AAUP.md,missing topic note
Abbey Road,create_planned,/home/dan/wealtheow/Topic Notes/Abbey Road.md,missing topic note
abduction,create_planned,/home/dan/wealtheow/Topic Notes/abduction.md,missing topic note
abolition,create_planned,/home/dan/wealtheow/Topic Notes/abolition.md,missing topic note
Abortion rights,create_planned,/home/dan/wealtheow/Topic Notes/Abortion rights.md,missing topic note
Abrego Garcia,create_planned,/home/dan/wealtheow/Topic Notes/Abrego Garcia.md,missing topic note
Abrego Garcia deportation,create_planned,/home/dan/wealtheow/Topic Notes/Abrego Garcia deportation.md,missing topic note
abstraction,exists,/home/dan/wealtheow/Topic Notes/abstraction.md,topic note already exists
absurdism,create_planned,/home/dan/wealtheow/Topic Notes/absurdism.md,missing topic note
Abuse,exists,/home/dan/wealtheow/Topic Notes/Abuse.md,topic note already exists
Abusive Mother,exists,/home/dan/wealtheow/Topic Notes/Abusive Mother.md,topic note already exists
Academia,exists,/home/dan/wealtheow/Topic Notes/Academia.md,topic note already exists
Academia and Power,create_planned,/home/dan/wealtheow/Topic Notes/Academia and Power.md,missing topic note
Academic Assessment,create_planned,/home/dan/wealtheow/Topic Notes/Academic Assessment.md,missing topic note
Academic Awards,exists,/home/dan/wealtheow/Topic Notes/Academic Awards.md,topic note already exists
Academic capital,exists,/home/dan/wealtheow/Topic Notes/Academic capital.md,topic note already exists
Academic Careers,create_planned,/home/dan/wealtheow/Topic Notes/Academic Careers.md,missing topic note
academic careers,create_planned,/home/dan/wealtheow/Topic Notes/academic careers.md,missing topic note
academic continuity,create_planned,/home/dan/wealtheow/Topic Notes/academic continuity.md,missing topic note
Academic Creativity,create_planned,/home/dan/wealtheow/Topic Notes/Academic Creativity.md,missing topic note
academic culture,create_planned,/home/dan/wealtheow/Topic Notes/academic culture.md,missing topic note
Academic Culture,create_planned,/home/dan/wealtheow/Topic Notes/Academic Culture.md,missing topic note
academic disciplines,create_planned,/home/dan/wealtheow/Topic Notes/academic disciplines.md,missing topic note
Academic Discourse,create_planned,/home/dan/wealtheow/Topic Notes/Academic Discourse.md,missing topic note
academic Dutch,exists,/home/dan/wealtheow/Topic Notes/academic Dutch.md,topic note already exists
Academic Employment,create_planned,/home/dan/wealtheow/Topic Notes/Academic Employment.md,missing topic note
Academic Ethics,create_planned,/home/dan/wealtheow/Topic Notes/Academic Ethics.md,missing topic note
Academic Fields,create_planned,/home/dan/wealtheow/Topic Notes/Academic Fields.md,missing topic note
Academic Freedom,exists,/home/dan/wealtheow/Topic Notes/Academic Freedom.md,topic note already exists
academic freedom and compliance,create_planned,/home/dan/wealtheow/Topic Notes/academic freedom and compliance.md,missing topic note
academic governance,create_planned,/home/dan/wealtheow/Topic Notes/academic governance.md,missing topic note
Academic governance,create_planned,/home/dan/wealtheow/Topic Notes/Academic governance.md,missing topic note
Academic incentives,create_planned,/home/dan/wealtheow/Topic Notes/Academic incentives.md,missing topic note
academic infrastructure,create_planned,/home/dan/wealtheow/Topic Notes/academic infrastructure.md,missing topic note
academic institutions,create_planned,/home/dan/wealtheow/Topic Notes/academic institutions.md,missing topic note
academic integrity,create_planned,/home/dan/wealtheow/Topic Notes/academic integrity.md,missing topic note
Academic Integrity,create_planned,/home/dan/wealtheow/Topic Notes/Academic Integrity.md,missing topic note
academic job market,create_planned,/home/dan/wealtheow/Topic Notes/academic job market.md,missing topic note
Academic Labor,create_planned,/home/dan/wealtheow/Topic Notes/Academic Labor.md,missing topic note
Academic labour,create_planned,/home/dan/wealtheow/Topic Notes/Academic labour.md,missing topic note
academic labour,exists,/home/dan/wealtheow/Topic Notes/academic labour.md,topic note already exists
academic mentoring,create_planned,/home/dan/wealtheow/Topic Notes/academic mentoring.md,missing topic note
academic mobility,create_planned,/home/dan/wealtheow/Topic Notes/academic mobility.md,missing topic note
Academic novels,create_planned,/home/dan/wealtheow/Topic Notes/Academic novels.md,missing topic note
Academic novels (Genre),exists,/home/dan/wealtheow/Topic Notes/Academic novels (Genre).md,topic note already exists
academic obsolescence,create_planned,/home/dan/wealtheow/Topic Notes/academic obsolescence.md,missing topic note
Academic planning,create_planned,/home/dan/wealtheow/Topic Notes/Academic planning.md,missing topic note
academic politics,create_planned,/home/dan/wealtheow/Topic Notes/academic politics.md,missing topic note
Academic Publishing,create_planned,/home/dan/wealtheow/Topic Notes/Academic Publishing.md,missing topic note
academic publishing,create_planned,/home/dan/wealtheow/Topic Notes/academic publishing.md,missing topic note
Academic Representation,exists,/home/dan/wealtheow/Topic Notes/Academic Representation.md,topic note already exists
academic responsibility,create_planned,/home/dan/wealtheow/Topic Notes/academic responsibility.md,missing topic note
academic rhythm,create_planned,/home/dan/wealtheow/Topic Notes/academic rhythm.md,missing topic note
academic salaries,create_planned,/home/dan/wealtheow/Topic Notes/academic salaries.md,missing topic note
academic societies,create_planned,/home/dan/wealtheow/Topic Notes/academic societies.md,missing topic note
Academic Staff Collective Agreement (ASCA),exists,/home/dan/wealtheow/Topic Notes/Academic Staff Collective Agreement (ASCA).md,topic note already exists
academic standards,create_planned,/home/dan/wealtheow/Topic Notes/academic standards.md,missing topic note
Academic Vocation,create_planned,/home/dan/wealtheow/Topic Notes/Academic Vocation.md,missing topic note
academic writing,create_planned,/home/dan/wealtheow/Topic Notes/academic writing.md,missing topic note
Academical Degrees,create_planned,/home/dan/wealtheow/Topic Notes/Academical Degrees.md,missing topic note
Academics,create_planned,/home/dan/wealtheow/Topic Notes/Academics.md,missing topic note
Academy Schools,create_planned,/home/dan/wealtheow/Topic Notes/Academy Schools.md,missing topic note
accents,create_planned,/home/dan/wealtheow/Topic Notes/accents.md,missing topic note
acceptability,create_planned,/home/dan/wealtheow/Topic Notes/acceptability.md,missing topic note
Access Copyright,create_planned,/home/dan/wealtheow/Topic Notes/Access Copyright.md,missing topic note
accessibility,create_planned,/home/dan/wealtheow/Topic Notes/accessibility.md,missing topic note
accessible communication,create_planned,/home/dan/wealtheow/Topic Notes/accessible communication.md,missing topic note
Accommodationist Strategy,create_planned,/home/dan/wealtheow/Topic Notes/Accommodationist Strategy.md,missing topic note
Accountability,create_planned,/home/dan/wealtheow/Topic Notes/Accountability.md,missing topic note
Accountability and transparency,create_planned,/home/dan/wealtheow/Topic Notes/Accountability and transparency.md,missing topic note
Accountability Systems,create_planned,/home/dan/wealtheow/Topic Notes/Accountability Systems.md,missing topic note
acculturation,create_planned,/home/dan/wealtheow/Topic Notes/acculturation.md,missing topic note
achievement gap,create_planned,/home/dan/wealtheow/Topic Notes/achievement gap.md,missing topic note
Achievement Gaps,create_planned,/home/dan/wealtheow/Topic Notes/Achievement Gaps.md,missing topic note
Achuar,create_planned,/home/dan/wealtheow/Topic Notes/Achuar.md,missing topic note
Acoustic Phonetics,create_planned,/home/dan/wealtheow/Topic Notes/Acoustic Phonetics.md,missing topic note
Acoustic Variation,create_planned,/home/dan/wealtheow/Topic Notes/Acoustic Variation.md,missing topic note
acting,create_planned,/home/dan/wealtheow/Topic Notes/acting.md,missing topic note
Action4Canada,create_planned,/home/dan/wealtheow/Topic Notes/Action4Canada.md,missing topic note
Activism,exists,/home/dan/wealtheow/Topic Notes/Activism.md,topic note already exists
Ada Limón,create_planned,/home/dan/wealtheow/Topic Notes/Ada Limón.md,missing topic note
Adam Gopnik,create_planned,/home/dan/wealtheow/Topic Notes/Adam Gopnik.md,missing topic note
Adam Grant,exists,/home/dan/wealtheow/Topic Notes/Adam Grant.md,topic note already exists
Adam Kirsch,exists,/home/dan/wealtheow/Topic Notes/Adam Kirsch.md,topic note already exists
Adam McKay,exists,/home/dan/wealtheow/Topic Notes/Adam McKay.md,topic note already exists
Adaptation,create_planned,/home/dan/wealtheow/Topic Notes/Adaptation.md,missing topic note
adaptation,create_planned,/home/dan/wealtheow/Topic Notes/adaptation.md,missing topic note
Adaptive radiation,create_planned,/home/dan/wealtheow/Topic Notes/Adaptive radiation.md,missing topic note
addiction,exists,/home/dan/wealtheow/Topic Notes/addiction.md,topic note already exists
addiction numérique,create_planned,/home/dan/wealtheow/Topic Notes/addiction numérique.md,missing topic note
Addition,create_planned,/home/dan/wealtheow/Topic Notes/Addition.md,missing topic note
Adidas,create_planned,/home/dan/wealtheow/Topic Notes/Adidas.md,missing topic note
Adjectives and Adverbs,create_planned,/home/dan/wealtheow/Topic Notes/Adjectives and Adverbs.md,missing topic note
admin burst,create_planned,/home/dan/wealtheow/Topic Notes/admin burst.md,missing topic note
administration,exists,/home/dan/wealtheow/Topic Notes/administration.md,topic note already exists
administrative burden,create_planned,/home/dan/wealtheow/Topic Notes/administrative burden.md,missing topic note
administrative friction,create_planned,/home/dan/wealtheow/Topic Notes/administrative friction.md,missing topic note
administrative language,create_planned,/home/dan/wealtheow/Topic Notes/administrative language.md,missing topic note
Administrative Law,create_planned,/home/dan/wealtheow/Topic Notes/Administrative Law.md,missing topic note
Administrative Malpractice,create_planned,/home/dan/wealtheow/Topic Notes/Administrative Malpractice.md,missing topic note
administrative overreach,create_planned,/home/dan/wealtheow/Topic Notes/administrative overreach.md,missing topic note
Administrative Reform,create_planned,/home/dan/wealtheow/Topic Notes/Administrative Reform.md,missing topic note
administrative state,create_planned,/home/dan/wealtheow/Topic Notes/administrative state.md,missing topic note
administrative tactics,create_planned,/home/dan/wealtheow/Topic Notes/administrative tactics.md,missing topic note
Adolescence,create_planned,/home/dan/wealtheow/Topic Notes/Adolescence.md,missing topic note
Adolescent medicine,create_planned,/home/dan/wealtheow/Topic Notes/Adolescent medicine.md,missing topic note
Adolf Hitler,create_planned,/home/dan/wealtheow/Topic Notes/Adolf Hitler.md,missing topic note
Adolph Reed Jr,exists,/home/dan/wealtheow/Topic Notes/Adolph Reed Jr.md,topic note already exists
Adoption,create_planned,/home/dan/wealtheow/Topic Notes/Adoption.md,missing topic note
Adrian Vermeule,create_planned,/home/dan/wealtheow/Topic Notes/Adrian Vermeule.md,missing topic note
Adrien Brody,create_planned,/home/dan/wealtheow/Topic Notes/Adrien Brody.md,missing topic note
Adult verification,create_planned,/home/dan/wealtheow/Topic Notes/Adult verification.md,missing topic note
adversarial training,create_planned,/home/dan/wealtheow/Topic Notes/adversarial training.md,missing topic note
Advertising,exists,/home/dan/wealtheow/Topic Notes/Advertising.md,topic note already exists
Advertising History,create_planned,/home/dan/wealtheow/Topic Notes/Advertising History.md,missing topic note
Advocacy,create_planned,/home/dan/wealtheow/Topic Notes/Advocacy.md,missing topic note
Advocacy Skills,create_planned,/home/dan/wealtheow/Topic Notes/Advocacy Skills.md,missing topic note
Aedes albopictus,create_planned,/home/dan/wealtheow/Topic Notes/Aedes albopictus.md,missing topic note
aeronautical engineering,create_planned,/home/dan/wealtheow/Topic Notes/aeronautical engineering.md,missing topic note
Aesthetic Distance,create_planned,/home/dan/wealtheow/Topic Notes/Aesthetic Distance.md,missing topic note
Aesthetics,create_planned,/home/dan/wealtheow/Topic Notes/Aesthetics.md,missing topic note
aesthetics,create_planned,/home/dan/wealtheow/Topic Notes/aesthetics.md,missing topic note
Affect,create_planned,/home/dan/wealtheow/Topic Notes/Affect.md,missing topic note
affect,create_planned,/home/dan/wealtheow/Topic Notes/affect.md,missing topic note
Affirmative Action,exists,/home/dan/wealtheow/Topic Notes/Affirmative Action.md,topic note already exists
Africa,exists,/home/dan/wealtheow/Topic Notes/Africa.md,topic note already exists
African American literature,create_planned,/home/dan/wealtheow/Topic Notes/African American literature.md,missing topic note
African American Vernacular English,create_planned,/home/dan/wealtheow/Topic Notes/African American Vernacular English.md,missing topic note
African Americans,exists,/home/dan/wealtheow/Topic Notes/African Americans.md,topic note already exists
African diaspora,create_planned,/home/dan/wealtheow/Topic Notes/African diaspora.md,missing topic note
African-American English Vernacular (AAEV),exists,/home/dan/wealtheow/Topic Notes/African-American English Vernacular (AAEV).md,topic note already exists
Ageing and Work Transitions,create_planned,/home/dan/wealtheow/Topic Notes/Ageing and Work Transitions.md,missing topic note
Agency,create_planned,/home/dan/wealtheow/Topic Notes/Agency.md,missing topic note
agent-based modelling,create_planned,/home/dan/wealtheow/Topic Notes/agent-based modelling.md,missing topic note
agentic AI,create_planned,/home/dan/wealtheow/Topic Notes/agentic AI.md,missing topic note
agentic models,create_planned,/home/dan/wealtheow/Topic Notes/agentic models.md,missing topic note
aggression,create_planned,/home/dan/wealtheow/Topic Notes/aggression.md,missing topic note
AGI,create_planned,/home/dan/wealtheow/Topic Notes/AGI.md,missing topic note
AGI skepticism,create_planned,/home/dan/wealtheow/Topic Notes/AGI skepticism.md,missing topic note
AGI Timeline,create_planned,/home/dan/wealtheow/Topic Notes/AGI Timeline.md,missing topic note
Agriculture Experimental Stations,exists,/home/dan/wealtheow/Topic Notes/Agriculture Experimental Stations.md,topic note already exists
Agriculture Extension Service (United States),exists,/home/dan/wealtheow/Topic Notes/Agriculture Extension Service (United States).md,topic note already exists
AHRC fellowship,create_planned,/home/dan/wealtheow/Topic Notes/AHRC fellowship.md,missing topic note
"Ahrens, Sönke",create_planned,"/home/dan/wealtheow/Topic Notes/Ahrens, Sönke.md",missing topic note
ai,create_planned,/home/dan/wealtheow/Topic Notes/ai.md,missing topic note
AI,create_planned,/home/dan/wealtheow/Topic Notes/AI.md,missing topic note
AI 2027,create_planned,/home/dan/wealtheow/Topic Notes/AI 2027.md,missing topic note
AI academy,create_planned,/home/dan/wealtheow/Topic Notes/AI academy.md,missing topic note
AI adoption,create_planned,/home/dan/wealtheow/Topic Notes/AI adoption.md,missing topic note
AI Agents,create_planned,/home/dan/wealtheow/Topic Notes/AI Agents.md,missing topic note
AI alignment; sycophant models; reward misspecification; deep learning; deceptive behavior; specification gaming; RLHF risks; transformative AI; safety theory; value alignment,create_planned,/home/dan/wealtheow/Topic Notes/AI alignment; sycophant models; reward misspecification; deep learning; deceptive behavior; specification gaming; RLHF risks; transformative AI; safety theory; value alignment.md,missing topic note
AI and cognition,create_planned,/home/dan/wealtheow/Topic Notes/AI and cognition.md,missing topic note
AI and culture,create_planned,/home/dan/wealtheow/Topic Notes/AI and culture.md,missing topic note
AI and education,create_planned,/home/dan/wealtheow/Topic Notes/AI and education.md,missing topic note
AI and labour,create_planned,/home/dan/wealtheow/Topic Notes/AI and labour.md,missing topic note
AI and language,create_planned,/home/dan/wealtheow/Topic Notes/AI and language.md,missing topic note
AI authorship,create_planned,/home/dan/wealtheow/Topic Notes/AI authorship.md,missing topic note
AI Best Practices,create_planned,/home/dan/wealtheow/Topic Notes/AI Best Practices.md,missing topic note
